ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13340773,JH118602,2023-12-11 14:15:00,011XX N MONITOR AVE,1153,Deceptive Practice,Financial Identity Theft Over $ 300,,0,0,1511,15,29,25,11,1137147.0,1907077.0,2023,2024-01-19 15:40:00,41.90117071,-87.77169396,"(41.901170711, -87.771693958)"
13200739,JG412187,2023-09-05 14:51:00,033XX W DOUGLAS BLVD,041A,Battery,Aggravated - Handgun,Apartment,1,1,1021,10,24,29,04B,1154115.0,1893253.0,2023,2025-01-03 15:40:00,41.8629145,-87.70973744,"(41.862914501, -87.709737438)"
13340598,JH118606,2023-07-01 09:00:00,033XX N NARRAGANSETT AVE,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Residence,0,0,1632,16,36,17,11,1133109.0,1921695.0,2023,2024-01-19 15:40:00,41.94135585,-87.78618357,"(41.941355854, -87.786183569)"
26262,JE366265,2021-09-08 16:45:00,047XX W HARRISON ST,110,Homicide,First Degree Murder,Car Wash,1,0,1131,11,24,25,01A,1144907.0,1896933.0,2021,2023-09-14 15:41:00,41.87319145,-87.74344656,"(41.873191445, -87.743446563)"
7823660,HS634379,2010-11-19 09:00:00,076XX S ABERDEEN ST,320,Robbery,Strong Arm - No Weapon,Residence,1,0,612,6,17,71,3,1170306.0,1854179.0,2010,2023-09-14 15:41:00,41.75535325,-87.65144019,"(41.755353249, -87.651440192)"
13691782,JH542240,2024-12-14 07:30:00,133XX S EDBROOKE AVE,1320,Criminal Damage,To Vehicle,Street,0,0,533,5,9,54,14,1179751.0,1816789.0,2024,2024-12-22 15:41:00,41.65253937,-87.61796514,"(41.652539374, -87.617965144)"
13208615,JG421831,2023-03-20 21:00:00,046XX N KEDZIE AVE,910,Motor Vehicle Theft,Automobile,Parking Lot / Garage (Non Residential),0,0,1713,17,33,14,7,1154207.0,1930786.0,2023,2023-09-14 15:41:00,41.96590645,-87.70839577,"(41.965906449, -87.708395773)"
13208678,JG412891,2023-09-01 01:30:00,047XX S KEATING AVE,1513,Prostitution,Soliciting For Business,Street,0,0,815,8,22,56,16,1145488.0,1872869.0,2023,2023-09-14 15:41:00,41.80714552,-87.74192176,"(41.807145524, -87.741921764)"
13208576,JG420847,2023-07-07 04:00:00,091XX S MARQUETTE AVE,820,Theft,$500 And Under,Residence - Porch / Hallway,0,0,423,4,7,48,6,1195849.0,1844794.0,2023,2023-09-14 15:41:00,41.72900636,-87.55814297,"(41.729006364, -87.558142967)"
13208665,JG406843,2023-09-01 13:09:00,132XX S ST LAWRENCE AVE,486,Battery,Domestic Battery Simple,Residence,0,1,533,5,10,54,08B,1182588.0,1817649.0,2023,2023-09-14 15:41:00,41.65483427,-87.60755843,"(41.654834273, -87.607558429)"
13208599,JG405706,2023-08-30 11:30:00,084XX S BURNHAM AVE,1750,Offense Involving Children,Child Abuse,Residence,0,0,423,4,7,46,08B,1196291.0,1849582.0,2023,2023-09-14 15:41:00,41.7421341,-87.55636551,"(41.742134096, -87.556365508)"
13208668,JG406226,2023-09-01 02:10:00,047XX W 47TH ST,1513,Prostitution,Soliciting For Business,Street,0,0,815,8,22,56,16,1145695.0,1873053.0,2023,2023-09-14 15:41:00,41.80764654,-87.74115789,"(41.807646537, -87.741157889)"
13208672,JG421467,2023-07-30 09:00:00,078XX S SOUTH SHORE DR,1152,Deceptive Practice,Illegal Use Cash Card,Apartment,0,0,421,4,7,46,11,1198248.0,1853536.0,2023,2023-09-14 15:41:00,41.75293545,-87.5490632,"(41.752935445, -87.5490632)"
13208609,JG421713,2023-08-17 18:00:00,041XX W BELMONT AVE,910,Motor Vehicle Theft,Automobile,Street,1,0,1731,17,30,16,7,1148281.0,1920957.0,2023,2023-10-04 15:41:00,41.93905144,-87.73043892,"(41.939051438, -87.730438917)"
13273157,JG499252,2023-11-10 10:50:00,060XX N BROADWAY,860,Theft,Retail Theft,Grocery Food Store,0,0,2433,24,48,77,6,1167213.0,1940125.0,2023,2023-11-18 15:40:00,41.99126267,-87.66030556,"(41.991262667, -87.660305558)"
13272458,JG498532,2023-11-10 05:30:00,027XX N NEWLAND AVE,460,Battery,Simple,Residence,0,0,2512,25,36,18,08B,1129621.0,1917357.0,2023,2023-11-18 15:40:00,41.92951224,-87.79910296,"(41.92951224, -87.799102956)"
13277018,JG503952,2023-11-10 03:00:00,064XX S ABERDEEN ST,820,Theft,$500 And Under,Street,0,0,724,7,16,68,6,1170090.0,1862066.0,2023,2023-11-18 15:40:00,41.77700087,-87.65200282,"(41.777000866, -87.652002823)"
13272973,JG499289,2023-11-10 17:30:00,009XX N KEYSTONE AVE,1310,Criminal Damage,To Property,Residence,0,0,1111,11,37,23,14,1149220.0,1905872.0,2023,2023-11-18 15:40:00,41.89763861,-87.72737955,"(41.897638613, -87.727379553)"
13273189,JG499439,2023-11-10 18:00:00,005XX N WALLER AVE,1320,Criminal Damage,To Vehicle,Vehicle Non-Commercial,0,0,1512,15,29,25,14,1138238.0,1903169.0,2023,2023-11-18 15:40:00,41.890427,-87.76778118,"(41.890427004, -87.767781176)"
13541720,JH361759,2024-07-24 19:45:00,008XX S WELLS ST,910,Motor Vehicle Theft,Automobile,Street,0,0,123,1,34,32,7,1174838.0,1896647.0,2024,2024-12-21 15:40:00,41.87178962,-87.6335643,"(41.87178962, -87.633564301)"
13273520,JG499839,2023-11-10 21:00:00,092XX S BISHOP ST,910,Motor Vehicle Theft,Automobile,Street,0,0,2222,22,21,73,7,1168287.0,1843507.0,2023,2023-11-18 15:40:00,41.72611144,-87.65914571,"(41.726111439, -87.659145706)"
13280402,JG507961,2023-11-07 17:30:00,057XX N SHERIDAN RD,810,Theft,Over $500,Cta Bus,0,0,2022,20,48,77,6,1168598.0,1938218.0,2023,2023-11-19 15:40:00,41.98599984,-87.65526673,"(41.985999837, -87.655266727)"
13281160,JG508937,2023-10-29 12:30:00,055XX N MILWAUKEE AVE,1310,Criminal Damage,To Property,Commercial / Business Office,0,0,1622,16,45,11,14,1136432.0,1936565.0,2023,2023-11-20 15:40:00,41.9821017,-87.77361302,"(41.982101703, -87.773613022)"
13206294,JG418967,2023-09-06 14:00:00,014XX N WASHTENAW AVE,1320,Criminal Damage,To Vehicle,Street,0,0,1423,14,26,24,14,1158153.0,1909396.0,2023,2023-09-14 15:43:00,41.90713095,-87.69447314,"(41.907130946, -87.694473144)"
13201410,JG413245,2023-09-06 09:22:00,006XX W ROOT ST,1340,Criminal Damage,To State Supported Property,Street,0,0,925,9,11,61,14,1172547.0,1877380.0,2023,2023-09-14 15:43:00,41.81897033,-87.64254439,"(41.818970326, -87.642544391)"
13204765,JG412994,2023-09-06 02:10:00,081XX S PEORIA ST,486,Battery,Domestic Battery Simple,Apartment,0,1,613,6,17,71,08B,1171722.0,1850939.0,2023,2023-09-14 15:43:00,41.74643135,-87.64634573,"(41.746431352, -87.646345733)"
13202231,JG414162,2023-09-06 17:38:00,073XX S ARTESIAN AVE,460,Battery,Simple,Apartment,0,0,835,8,18,66,08B,1161314.0,1855911.0,2023,2023-09-14 15:43:00,41.76029697,-87.6843458,"(41.760296965, -87.684345797)"
13201655,JG413525,2023-09-06 12:58:00,004XX W 63RD ST,486,Battery,Domestic Battery Simple,Apartment,0,1,722,7,20,68,08B,1174231.0,1863149.0,2023,2023-09-14 15:43:00,41.77988171,-87.63678991,"(41.779881706, -87.636789913)"
13201514,JG413462,2023-09-06 05:16:00,021XX S CANALPORT AVE,2820,Other Offense,Telephone Threat,Other (Specify),0,0,1235,12,25,31,08A,1170364.0,1889785.0,2023,2023-09-14 15:43:00,41.85305866,-87.65019051,"(41.853058663, -87.650190508)"
13202650,JG414607,2023-09-06 21:30:00,027XX S PRAIRIE AVE,820,Theft,$500 And Under,Street,0,0,133,1,4,35,6,1178499.0,1886506.0,2023,2023-09-14 15:43:00,41.84387939,-87.62043259,"(41.843879386, -87.620432585)"
13202208,JG414257,2023-09-06 20:50:00,017XX S WENTWORTH AVE,630,Burglary,Attempt Forcible Entry,Park Property,0,0,914,9,11,33,5,1175333.0,1891876.0,2023,2023-09-14 15:43:00,41.85868659,-87.6318901,"(41.858686589, -87.631890095)"
13202179,JG413885,2023-09-06 16:41:00,030XX N CICERO AVE,910,Motor Vehicle Theft,Automobile,Parking Lot / Garage (Non Residential),0,0,2521,25,31,19,7,1143852.0,1919599.0,2023,2023-09-14 15:43:00,41.93540928,-87.74675098,"(41.935409279, -87.74675098)"
